Уровень,Дата и время,Источник,Код события,Категория задачи
Сведения,03.12.2019 18:49:17,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\WINDOWS\system32\Microsoft\Protect\Recovery\Recovery.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения,03.12.2019 18:48:08,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,03.12.2019 18:48:02,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎12‎-‎03T15:35:36.201016800Z
Время выхода из спящего режима: ‎2019‎-‎12‎-‎03T15:48:01.689486600Z

Источник выхода: Кнопка питания"
Предупреждение,03.12.2019 18:48:01,BTHUSB,34,Отсутствует,"Локальный адаптер не поддерживает важное состояние контроллера энергосбережения для поддержки режима периферийного устройства. Минимально необходимая маска поддерживаемого состояния — 0x2491f7fffff, получено 0xffffffff. Функция роли периферийного устройства низкого энергопотребления не будет доступна."
Сведения,03.12.2019 18:48:01,BTHUSB,18,Отсутствует,Система Windows не может сохранить коды проверки подлинности Bluetooth (ключи связи) на локальном адаптере. Клавиатуры Bluetooth могут не работать с BIOS компьютера во время загрузки.
Сведения,03.12.2019 18:48:00,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,03.12.2019 18:48:00,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 1, FullResume: 469, AverageResume: 469"
Сведения,03.12.2019 18:47:59,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎12‎-‎03T15:35:45.796770000Z на ‎2019‎-‎12‎-‎03T15:47:59.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,03.12.2019 18:35:45,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,03.12.2019 18:35:43,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
